id,original_filename,categorie,confidence,metoda_clasificare,processing_status,review_status,companie,material,data_expirare,producator,adresa_producator,extraction_model,extraction_status
3368,FT-Inel D1000x250.pdf,FISA_TEHNICA,0.90,filename_regex,completed,OK,BOMA PREFABRICATE,"Inele pentru cămine (1240/1000/120, 1240/1000/250, 1240/1000/500, 1240/1000/750) din beton semi-ușor, SR EN 12390-3:2009, SR EN 1917:2003, SR EN 1917:2003/AC:2008",,,"S.C. BOMA PREFABRICATE S.R.L., Platforma Industriala Fosta Grup, sat Strajnicu, com. Tîrgu Secuieni, DN1A KM62+200, Jud. Prahova",vision:gemini-2.0-flash,success
3369,FT-Inel D1000x500.pdf,FISA_TEHNICA,0.90,filename_regex,completed,OK,BOMA PREFABRICATE,Inele pentru camine,,,"Platforma Industriala Est Grup, Sat Straubiu, com. Tirgușorul Vechi, DN1A KM62+200, Jud. Prahova",vision:gemini-2.0-flash,success
3370,FT-Inel D1000x750.pdf,FISA_TEHNICA,0.90,filename_regex,completed,OK,BOMA PREFABRICATE,Inele pentru cămine,,,"S.C. BOMA PREFABRICATE S.R.L. Adresă: Platforma Industrială Ernei Grup, Sat Străulești, Com. Tîrgu Mureșeni, DN1A KM62+200, Jud. Prahova, tel: +40 244 704 342, e-mail: office@boma.ro",vision:gemini-2.0-flash,success
3371,FT-Placa+capac.pdf,FISA_TEHNICA,0.98,filename+text_agree,completed,OK,BOMA,Placi de acoperire din beton armat (capac carosabil rectangular),,,"S.C. BOMA PREFABRICATE S.R.L.
Adresa: Platforma Industriala Florea Grup, Sat Strejnicu, Com. Tirgsorul Vechi, DN1 A Km62+200, jud. Prahova",vision:gemini-2.0-flash,success
3372,1. Fisa tehnica.pdf,FISA_TEHNICA,0.90,filename_regex,completed,OK,4 pipes,Casing End Seals,,,Sigmundstraße 182 • 90431 Nürnberg • Germany,vision:gemini-2.0-flash,success
3373,2. Test Report.pdf,CERTIFICAT_CALITATE,0.90,filename_regex,completed,OK,4 pipes GmbH,"4 pipes Casing end seal type AKT / AWM / AST, EPDM, black",,,"Sigmundstrasse 182, 90431 Nuremberg",vision:gemini-2.0-flash,success
3374,3. Instructiuni montaj.pdf,FISA_TEHNICA,0.95,ai,completed,OK,4 pipes,"End seals AKT/AWM, AKT/AKO, AKT/AKG din cauciuc EPDM, pentru diverse diametre de tevi",,,Sigmundstraße 182 • 90431 Nuremberg / Germany,vision:gemini-2.0-flash,success
3375,4. I.SO_4pipes_GB_9001.pdf,ISO,0.99,text_rules,completed,OK,4 pipes GmbH,,14.09.2024,,Sigmundstraße 182 90431 Nürnberg,vision:gemini-2.0-flash,success
3376,5.ISO_4pipes_GB_14001.pdf,ISO,0.99,text_rules,completed,OK,4 pipes GmbH,,14.09.2024,,Sigmundstraße 182 90431 Nürnberg,vision:gemini-2.0-flash,success
3377,AGT.pdf,AGREMENT,0.98,filename+text_agree,completed,OK,PROEX TOP SRL,Presetupe și accesorii pentru etanșarea traversărilor de conducte și cabluri prin elemente de construcție,19.06.2028,PSI PRODUCTS GmbH,"Ulrichstrasse 25 72116 Mössingen, Germania",vision:gemini-2.0-flash,success
3378,AVT.pdf,AVIZ_TEHNIC,0.90,filename_wins,completed,OK,ICECON SA,Presetupe și accesorii pentru etanșarea traversărilor de conducte și cabluri prin elemente de construcție,19.06.2027,PSI PRODUCTS GmbH,"Urlichstrasse 25, 72116 Mössingen Germania",vision:gemini-2.0-flash,success
3379,CERTIFICAT CONFORMITATE.pdf,CERTIFICAT_CALITATE,0.95,ai,completed,OK,PSI Products GmbH,"PSI EndiT KT Casing End Seal, EPDM, Stainless steel",11.09.2025,,Ulrichstrasse 25 72116 Mossingen Germany,vision:gemini-2.0-flash,success
3380,FISA TEHNICA LINK SEAL.pdf,FISA_TEHNICA,0.90,filename_regex,completed,OK,PROEXTOP,Link-Seal - Etansari modulare,,,"Bd. Lacul Tei, Nr.1-3 ISPE, Et.6, Cam 625-627, Cod Postal 020371, Sector 2, Bucuresti",vision:gemini-2.0-flash,success
3381,Instructiuni de instalare LS RO.pdf,ALTELE,0.95,ai,completed,OK,PSI Products GmbH,Etanșări modulare Link-Seal,,,Ulrichstrasse 25 72116 Mössingen,vision:gemini-2.0-flash,success
3382,ISO 9001 - 14001.pdf,ISO,0.99,filename+text_agree,completed,OK,PROEX TOP SRL,,,,"Loc. București, B-dul Lacul Tei, Nr. 1-3, Et. 6, Camerele 625-626-627, Sector 2, CP 020371, România",vision:gemini-2.0-flash,success
3383,ISO-9001.pdf,ISO,0.99,filename+text_agree,completed,OK,PSI Products GmbH,,21.07.2028,,Ulrichstraße 25 72116 Mössingen Germany,vision:gemini-2.0-flash,success
3384,proextop-catalog-burdufuri-etansare-conducte.pdf,FISA_TEHNICA,0.98,filename+text_agree,completed,OK,PRO EX TOP,"Burdurufi de etanșare PSI, Burduf de etanșare MULTIdimensional de tip KT, Burduf de etanșare de tip DU, Burduf de etanșare de tip KG/KO, Burdurufile de etanșare PSI de tip FW",,,"Bd. Lacul Tei, Nr. 1-3 ISPE, Et.6, Cam. 625-627 Cod Postal 020371, Sector 2, București",vision:gemini-2.0-flash,success
3385,proextop-catalog-distantieri-izolatori-plastic.pdf,FISA_TEHNICA,0.98,filename+text_agree,completed,OK,PROExTOP,"Distanțiere/Izolatori din Plastic PSI, Sistem DSI",,,Ulrichstraße 25 · D-72116 Mössingen,vision:gemini-2.0-flash,success
3386,proextop-catalog-piese-etansare-compact.pdf,FISA_TEHNICA,0.98,filename+text_agree,completed,OK,PROEXTOP,"Piese PSI Compact de etansare
Compact Standard
Compact KTW/W270 pentru apă potabilă",,,"Bd. Lacul Tei, Nr. 1-3 ISPE, Et.6, Cam. 625-627, Cod Postal 020371, Sector 2, București",vision:gemini-2.0-flash,success
3387,1. FT.pdf,FISA_TEHNICA,0.90,filename_regex,completed,OK,,RESILIENT GATE VALVE DIN3352 F4/F5,,,,vision:gemini-2.0-flash,success
3388,1.1 FT.pdf,FISA_TEHNICA,0.90,filename_regex,completed,OK,,Robinetsertar cauciucat cu tija neascendenta DN40-DN600,,,,vision:gemini-2.0-flash,success
3389,10. ISO14001 & ISO45001 Tianjin.pdf,ISO,0.95,filename_regex,completed,OK,"Tianjin KEFA Valve Co., Ltd.",,19.05.2028,,"A1 Building(Waixu Industry Park) Dongli DistrictWaixu Industry Park Dongli District, Waixu Industry Park, Dongli District, Tianjin City 300400, China",vision:gemini-2.0-flash,success
3390,2. DC.pdf,DECLARATIE_CONFORMITATE,0.95,filename_wins,completed,OK,"TIANJIN KEFA VALVE CO.,LTD","Resilient seat gate valves, ductile iron body, F4/F5 PN10/16 DN40 - DN1200, flange and resilient seat",,,"YUZHUANGGCUN, HUJIAYUANJIE, TANGGU, TIANJIN, CHINA, 300452",vision:gemini-2.0-flash,success
3391,3. DOP.pdf,DECLARATIE_PERFORMANTA,0.95,filename_wins,completed,OK,"TIANJIN KEFA VALVE CO.,LTD","Resilient seat gate valve, F4/F5, PN10/16 DN40-DN1200 made ductile iron",,,"yuzhuang village,hujiayuan street,tanggu,tianjin,china",vision:gemini-2.0-flash,success
3392,4. DC.pdf,DECLARATIE_CONFORMITATE,0.98,filename+text_agree,completed,OK,PETROUZINEX SRL,,,,"Piatra-Neamt, Str. Bulevardul General Nicolae Dascalescu 261, Judetul: Neamt",vision:gemini-2.0-flash,success
3393,5. C 3.1.pdf,CERTIFICAT_CALITATE,0.90,filename_wins,completed,OK,"TIANJIN KEFA VALVE CO.,LTD",Robinet PN16 DN80 F4,,,"YUZHUANGZHICUN,HUAIYUANLI,TANGGU,TIANJIN,CHINA,300452",vision:gemini-2.0-flash,success
3394,6. AS.pdf,AVIZ_SANITAR,0.99,filename_regex,completed,OK,PETROUZINEX SRL,"Robineți cu sertar, reținere, aerisire/dezaerisire, închidere, clapă fluture și bilă",,"Tianjin KEFA Valve Co.,Ltd","Yuzhuangzi Village, Hujiayuan Street, Binhai New Area, Tanggu, Tianjin",vision:gemini-2.0-flash,success
3395,7. AUTORIZATIE.pdf,AUTORIZATIE_DISTRIBUTIE,0.90,filename_regex,completed,OK,"TIANJIN KEFA VALVE CO.,LTD",valves and fittings,,,"yuzhuang village,hujiayuan street,tanggu,tianjin,china",vision:gemini-2.0-flash,success
3396,8. CC.pdf,CERTIFICAT_CALITATE,0.90,filename_wins,completed,OK,LRQA,"Butterfly valves DN50 to DN1600, Check Valves DN50 to DN900, Gate valves DN50 to DN600, Ball valves DN50 to DN600, Y Type Strainers DN50 to DN300, Directive 2014/68/EU",04.08.2026,"Tianjin KEFA Valve Co., Ltd.","Yuzhuangzi Village, Huijiayuan Street, Binhai New Area, Tanggu, Tianjin, People's Republic of China",vision:gemini-2.0-flash,success
3397,9. ISO 9001 Tianjin.pdf,ISO,0.99,filename+text_agree,completed,OK,"Tianjin KEFA Valve Co., Ltd.",,23.08.2026,,"A1 BuildingWuxia Industry Park Dongli DistrictWuxia Industry Park Dongli District, Tianjin City 300454, China",vision:gemini-2.0-flash,success
3398,Certificat de excludere de la marcajul CE Compensatori de montaj producator Tianjin KEFA Valve Co.Ltd.pdf,CE,0.99,filename+text_agree,completed,OK,"TIANJIN KEFA VALVE CO.,LTD",Dismantling Joint PN10/16 DN40-2000,,,"yuzhuang village,hujiayuan street,tanggu,tianjin,china",vision:gemini-2.0-flash,success
3399,1. FT.pdf,FISA_TEHNICA,0.90,filename_regex,completed,OK,,RESILIENT GATE VALVE DIN3352 F4/F5,,,,vision:gemini-2.0-flash,success
3400,1.1 FT.pdf,FISA_TEHNICA,0.90,filename_regex,completed,OK,,Robinetsertar cauciucat cu tija neascendenta DN40-DN600,,,,vision:gemini-2.0-flash,success
3401,11. ISO 9001 PETROUZINEX.pdf,ISO,0.99,filename+text_agree,completed,OK,PETROUZINEX SRL,,26.08.2028,,"Bd.General Nicolae Dascalescu, Nr. 261, Loc. Piatra Neamt, Judetul Neamt, România",vision:gemini-2.0-flash,success
3402,12. ISO 14001 PETROUZINEX.pdf,ISO,0.99,filename+text_agree,completed,OK,PETROUZINEX SRL,,25.08.2028,,"Bd. General Nicolae Dascalescu, Nr. 261, Loc. Piatra Neamt, Judetul Neamt, România",vision:gemini-2.0-flash,success
3403,13. ISO 45001 PETROUZINEX.pdf,ISO,0.99,filename+text_agree,completed,OK,QSCert,,25.08.2025,,"C. P. Vajanskeho 1, 960 01 Zvolen, Slovak Republic",vision:gemini-2.0-flash,success
3404,4. DC.pdf,DECLARATIE_CONFORMITATE,0.98,filename+text_agree,completed,OK,PETROUZINEX SRL,,,,"Piatra-Neamt, Str. Bulevardul General Nicolae Dascalescu 261, Judetul: Neamt",vision:gemini-2.0-flash,success
3405,6. AS.pdf,AVIZ_SANITAR,0.99,filename_regex,completed,OK,PETROUZINEX SRL,"Robineți cu sertar, reținere, aerisire/dezaerisire, închidere, clapă fluture și bilă",,"Tianjin KEFA Valve Co.,Ltd","Yuzhuangzi Village, Hujiayuan Street, Binhai New Area, Tanggu, Tianjin, China",vision:gemini-2.0-flash,success
3406,Agrement+ Aviz Tehnic Vane Stavilar Petrouzinex - semnat.pdf,AGREMENT,0.95,filename_wins,completed,OK,PETROUZINEX SRL,Vane stăvilar fabricate din PETROUZINEX S.R.L. Piatra-Neamț,21.11.2027,,"Bd. General Nicolae Dăscălescu nr.261, 610201 Piatra-Neamț, Jud. Neamț",vision:gemini-2.0-flash,success
3407,Innotech Valves 14001.pdf,ISO,0.99,filename+text_agree,completed,OK,INNOTECH VALVES SRL,,22.01.2027,,"Str. Luica, Nr. 15, Cam. 1, Bl. 4, Sc. 2, Et. 6, Ap. 105, Sector 4, București",vision:gemini-2.0-flash,success
3408,Innotech Valves 9001.pdf,ISO,0.99,filename+text_agree,completed,OK,INNOTECH VALVES SRL,,22.01.2027,,"Str. Luica, Nr. 15, Cam. 1, Bl. 4, Sc. 2, Et. 6, Ap. 105, Sector 4, București",vision:gemini-2.0-flash,success
3409,CE BBK  Valve Group - traducere .pdf,CE,0.95,filename_regex,completed,OK,"BBK VALVE GROUP CO., LTD","Robinete industriale, Filtru Y, Compensatori cu tiranti",14.09.2026,,"603, No.99 YuShan Road, SuZhou, China",vision:gemini-2.0-flash,success
3410,CE-BBK Valve Group .pdf,CE,0.98,filename+text_agree,completed,OK,EURO CERT,"Industrial Valves, Y Strainer, Dismantling Joint",15.09.2023,"BIB VALVE GROUP CO., LTD.","603, No.99 Yuzhao Road, SuZhou, China",vision:gemini-2.0-flash,success
3411,FISA TEHNICA RSP CPC EN.pdf,FISA_TEHNICA,0.90,filename_wins,completed,OK,RELIABLE INDUSTRIAL,"Resilient Seated Gate Valves, DN50/300, PN10/16, TYPE F4/F5 (EN558.S14/S15), Bare shaft for manual operation",,,"No.158 Youhao Road, Youhao Mansion 1909, Dalian, China, P.C.:116001",vision:gemini-2.0-flash,success
3412,ISO 9001 traducere BBK.pdf,ISO,0.99,filename+text_agree,completed,OK,"TIANJIN BBK VALVE MANUFACTURE CO., LTD",,05.05.2025,,"No.59, District 3, Yihezhuang Village, Beizhakou, District Jinnan, Tianjin, China",vision:gemini-2.0-flash,success
3413,ISO 9001-de revizuit.pdf,ISO,0.99,filename+text_agree,completed,OK,"TIANJIN BBK VALVE MANUFACTURE CO., LTD.",,04.05.2025,,"No. 59, District 3, Yihezhuang Village, Beizhakou Town, Jinnan District, Tianjin, P. R. China",vision:gemini-2.0-flash,success
3414,ISOÂ 9001Â EN.pdf,ISO,0.99,text_rules,completed,OK,"Dalian Reliable Metal Co., Ltd.",,12.11.2028,,"1-2nd Floors, No.51-2, Hebin North Road, Lingang Industrial Zone, Dengshahe Town, Jinzhou District, Dalian City, 116105 Liaoning, P.R. China",vision:gemini-2.0-flash,success
3415,1.1 FT.pdf,FISA_TEHNICA,0.90,filename_regex,completed,OK,,Compensator cu tiranti,,,,vision:gemini-2.0-flash,success
3416,1.FT.pdf,FISA_TEHNICA,0.90,filename_regex,completed,OK,PETROUZINEX,Double flanged Dismantling Joints,,,,vision:gemini-2.0-flash,success
3417,10. ISO14001 & ISO45001 Tianjin.pdf,ISO,0.95,filename_regex,completed,OK,"Tianjin KEFA Valve Co., Ltd.",,19.05.2028,,"A1 Building/Waiwa Industry Park Dongli District/Waiwa Industry Park Dongli District, Waiwa Industry Park, Dongli District, Tianjin City 300400, China",vision:gemini-2.0-flash,success
3418,2. DC.pdf,DECLARATIE_CONFORMITATE,0.95,filename_wins,completed,OK,"TIANJIN KEFA VALVE CO.,LTD",Compensator de montaj PN10/16 DN40-2000,,,"yuzhuang village,hujiayuan street,tanggu,tianjin,china",vision:gemini-2.0-flash,success
3419,3. DOP.pdf,DECLARATIE_PERFORMANTA,0.95,filename_wins,completed,OK,"TIANJIN KEFA VALVE CO.,LTD",Dismantling joint PN10/16 DN40-DN2000 made ductile iron / carbon steel,,,"yuzhuang village,hujiayuan street,tanggu,tianjin,china",vision:gemini-2.0-flash,success
3420,4. DC.pdf,DECLARATIE_CONFORMITATE,0.98,filename+text_agree,completed,OK,PETROUZINEX SRL,,,,"Piatra-Neamt, Str. Bulevardul General Nicolae Dascalescu 261, Judetul: Neamt",vision:gemini-2.0-flash,success
3421,5. C 3.1.pdf,CERTIFICAT_CALITATE,0.90,filename_wins,completed,OK,"TIANJIN KEFA VALVE CO.,LTD",bolt 2045-9,,,"NO.128, WEISAN ROAD,DONGLI DISTRICT,TIANJIN,CHINA,300302",vision:gemini-2.0-flash,success
3422,6. AUTORIZATIE.pdf,AUTORIZATIE_DISTRIBUTIE,0.90,filename_regex,completed,OK,"TIANJIN KEFA VALVE CO.,LTD",valves and fittings,,,"yuzhuang village,hujiayuan street,tanggu,tianjin,china",vision:gemini-2.0-flash,success
3423,7. AS.pdf,AVIZ_SANITAR,0.99,filename_regex,completed,OK,INSTITUTUL NAȚIONAL DE SĂNĂTATE PUBLICĂ,"Compensator de montaj cu tiranți PN10-PN16, DN50-DN1400",,"Tianjin KEFA Valve Co.,Ltd.","Yuzhuangzi Village, Hujiayuan Street, Binhai New Area, Tanggu, Tianjin",vision:gemini-2.0-flash,success
3424,8. CC.pdf,CERTIFICAT_CALITATE,0.90,filename_wins,completed,OK,LRQA,"Butterfly valves, Check Valves, Gate Valves, Ball Valve and Strainers",04.08.2026,"Tianjin KEFA Valve Co., Ltd.","Yuzhuangzi Village, Huajiayuan Street, Binhai New Area, Tanggu, Tianjin, People's Republic of China",vision:gemini-2.0-flash,success
3425,9. ISO 9001Tianjin.pdf,ISO,0.99,filename+text_agree,completed,OK,"Tianjin KEFA Valve Co., Ltd.",,23.08.2026,,"A1 BuildingWuxia Industry Park Dongli DistrictWuxia Industry Park Dongli District, Tianjin City 300454, China",vision:gemini-2.0-flash,success
3426,FISA TEHNICA - Compensatori cu tiranti.pdf,FISA_TEHNICA,0.98,filename+text_agree,completed,OK,BBK VAL,Compensator cu tiranti PN10 / PN16 DN 50 – DN 1200,,,"No. 99, Yushan Road-SND, Suzhou, China",vision:gemini-2.0-flash,success
3427,11. ISO 9001 PETROUZINEX.pdf,ISO,0.99,filename+text_agree,completed,OK,PETROUZINEX SRL,,26.08.2026,,"Bd.General Nicolae Dascalescu, Nr. 261, Loc. Piatra Neamt, Judetul Neamt, România",vision:gemini-2.0-flash,success
3428,12. ISO 14001 PETROUZINEX.pdf,ISO,0.99,filename+text_agree,completed,OK,PETROUZINEX SRL,,25.08.2028,,"Bd. General Nicolae Dascalescu, Nr. 261, Loc. Piatra Neamt, Judetul Neamt, România",vision:gemini-2.0-flash,success
3429,13. ISO 45001 PETROUZINEX.pdf,ISO,0.99,filename+text_agree,completed,OK,PETROUZINEX SRL,,25.08.2025,,"Bd.General Nicolae Dascalescu, Nr. 261, Loc. Piatra Neamt, Judetul Neamt, România",vision:gemini-2.0-flash,success
3430,1.1 FT.pdf,FISA_TEHNICA,0.90,filename_regex,completed,OK,K C PELLIZZARI OIL & GAS,Compensator cu tiranti,,,,vision:gemini-2.0-flash,success
3431,1.FT.pdf,FISA_TEHNICA,0.90,filename_regex,completed,OK,PETROUZINEX,Double flanged Dismantling Joints,,,,vision:gemini-2.0-flash,success
3432,2. DC.pdf,DECLARATIE_CONFORMITATE,0.95,filename_wins,completed,OK,"TIANJIN KEFA VALVE CO.,LTD",Compensator de montaj PN10/16 DN40-2000,,,"yuzhuang village,hujiayuan street,tanggu,tianjin,china",vision:gemini-2.0-flash,success
3433,3. DOP.pdf,DECLARATIE_PERFORMANTA,0.95,filename_wins,completed,OK,"TIANJIN KEFA VALVE CO.,LTD",Dismantling joint PN10/16 DN40-DN2000 made ductile iron / carbon steel,,,"yuzhuang village,hujiayuan street,tanggu,tianjin,china",vision:gemini-2.0-flash,success
3434,4. DC.pdf,DECLARATIE_CONFORMITATE,0.98,filename+text_agree,completed,OK,PETROUZINEX SRL,,,,"Piatra-Neamt, Str. Bulevardul General Nicolae Dascalescu 261, Judetul: Neamt",vision:gemini-2.0-flash,success
3435,5. C 3.1.pdf,CERTIFICAT_CALITATE,0.90,filename_wins,completed,OK,"TIANJIN KEFA VALVE CO.,LTD","bolt 2048-9, surub 2048-9",,,"115 WEISAN ROAD, DONGLIJING, TIANJIN, CHINA,300302",vision:gemini-2.0-flash,success
3436,6. AUTORIZATIE.pdf,AUTORIZATIE_DISTRIBUTIE,0.90,filename_regex,completed,OK,"TIANJIN KEFA VALVE CO.,LTD",robineti si fitinguri,,,"yuzhuang village,hujiayuan street,tanggu,tianjin,china",vision:gemini-2.0-flash,success
3437,7. AS.pdf,AVIZ_SANITAR,0.99,filename_regex,completed,OK,PETROZINEX SRL,"Compensator de montaj cu tiranti PN10-PN16, DN50-DN1400",,"Tianjin KEFA Valve Co.,Ltd.","Yuzhuangzi Village, Hujiayuan Street, Binhai New Area, Tanggu, Tianjin",vision:gemini-2.0-flash,success
3438,8. CC.pdf,CERTIFICAT_CALITATE,0.90,filename_wins,completed,OK,LRQA,"Butterfly valves DN50 to DN1600, Check Valves DN50 to DN900, Gate valves DN50 to DN600, Ball valves DN50 to DN600, Y Type Strainers DN50 to DN300",04.08.2026,"Tianjin KEFA Valve Co., Ltd.","Yuzhuangzi Village, Huijiayuan Street, Binhai New Area, Tanggu, Tianjin, People’s Republic of China",vision:gemini-2.0-flash,success
3439,265-910-001_avk905_rom__586086 (1).pdf,FISA_TEHNICA,0.80,text_rules,completed,OK,AVK GROUP A/S,"Compensator de montaj cu flanșă centrală, PN10/16, fontă ductilă, acoperire GSK, tiranti din oțel inoxidabil A2, DN40-1200",,,,vision:gemini-2.0-flash,success
3440,Agrement tehnic_Armaturi de inchidere_003-0151013-2023 expira la 27.02.2026_AVK.pdf,AGREMENT,0.99,filename+text_agree,completed,OK,AVK INTERNATIONAL A/S,Armături de închidere pentru instalații de apă,27.02.2026,,"Bizonevej 1, Skovby DK – 8464 Galten Danemarca",vision:gemini-2.0-flash,success
3441,AT-003-05_1222-2025 compensatori montaj.pdf,AGREMENT,0.99,filename+text_agree,completed,OK,AVK INTERNATIONAL A/S,"Compensatori de montaj AVK fabricați din următoarele elemente: corp oțel S275JR (EN 10025-2:2019) /fontă ductilă EN GJS-400-15, tiranti și piulițe din oțel 8.8 zincat și pasivat, garnituri din EPDM",23.01.2028,,"Bizonevej 1, Skovby DK-8464 Galten, Danemarca",vision:gemini-2.0-flash,success
3442,Aviz tehnic_Armaturi de inchidere apa_27.02.2025_AVK.pdf,AVIZ_TEHNIC_SI_AGREMENT,0.90,text_rules,completed,OK,PROCEMA CERCETARE SRL,"Armături de închidere pentru instalații de apă, produse de AVK INTERNATIONAL A/S",27.02.2025,AVK INTERNATIONAL A/S,,vision:gemini-2.0-flash,success
3443,AvT 003-05_1013-2023 ARMATURI INCHIDERE APA - prelungire.pdf,AVIZ_TEHNIC,0.95,filename_wins,completed,OK,AVK INTERNATIONAL A/S,Armături de închidere pentru instalații de apă,27.02.2026,,,vision:gemini-2.0-flash,success
3444,Cuplaje_coliere_compensatori_fittinguri_AVK_aviz_sanitar.pdf,AVIZ_SANITAR,0.95,filename_regex,completed,OK,VESTRA INDUSTRY SRL,"Cuplaje, adaptoare cu flanșă, coliere de reparație, compensatori de montaj AVK seriile: 05, 10, 100, 258, 259, 260, 265, 601, 602, 603, 621, 623, 631, 632, 633, 634, 635, 745, 748, 727, 730, 873, 800X DN40 - DN2200, PN10, PN16, PN25; Fitinguri AVK seriile: 712, 10X Supa Lock, DN20 – DN600, PN10,",,AVK INTERNATIONAL A/S,"Str. Mihai Eminescu nr. 85, sat Cătămărești Deal, comuna Mihai Eminescu, Județul Botoșani, România",vision:gemini-2.0-flash,success
3445,Fisa tehnica - RF- Robinet fonta - cu sertar corp plat cu flanse - AVK (1).pdf,FISA_TEHNICA,0.90,filename_wins,completed,OK,FUSION,Robinete fonta - cu sertar corp plat cu flanse GSK PN10/16 (70'),,AVK INTERNATIONAL A/S,,vision:gemini-2.0-flash,success
3446,RO_ISO-14001-05980-2003-AE-DEN-DANAK-7-en-US-20240326-20240327100844.pdf.pdf,ISO,0.99,filename+text_agree,completed,OK,AVK International A/S,,31.03.2027,,"Bizonvej 1, 8464, Galten, Danemarca",vision:gemini-2.0-flash,success
3447,RO_ISO-9001-05030-1998-AQ-DEN-DANAK-6-en-US-20240326-20240327100843.pdf.pdf,ISO,0.99,filename+text_agree,completed,OK,AVK International A/S,,31.03.2027,,"Bizonvej 1, 8464, Galten, Danemarca",vision:gemini-2.0-flash,success
3448,Vane_sertar_AVK_aviz_sanitar.pdf,AVIZ_SANITAR,0.95,filename_regex,completed,OK,VESTRA INDUSTRY SRL,"Vane Sertar AVK seriile: 01, 02, 06, 12, 145, 15, 18, 20, 21, 26, 32, 33, 36, 38, 45, 50, 54, 55, 636, 638, DN40 - DN1200, PN10, PN16, PN25",17.03.2028,,"Str. Mihai Eminescu nr. 85, sat Cătămărești Deal, comuna Mihai Eminescu, Județul Botoșani, România",vision:gemini-2.0-flash,success
3449,Documente FAM.pdf,CERTIFICAT_CALITATE,0.92,text_rules,completed,OK,INNOTECH VALVES SRL,,22.01.2027,,"Str. Luica, Nr. 15, Cam. 1, Bl. 4, Sc. 2, Et. 6, Ap. 105, Sector 4, București",vision:gemini-2.0-flash,success
3450,Explicatii Petrouzinex.pdf,ALTELE,0.85,ai,completed,OK,PETROUZINEX,Teava sudata longitudinala,,Hubei Hua Yu Steel Pipe,,vision:gemini-2.0-flash,success
3451,24469 MTC-LSAW.pdf,CERTIFICAT_CALITATE,0.93,filename_regex,completed,OK,Shinestar Holdings Group,LSAW STEEL PIPE,,,"Add: No.9 Xiangfu Road, Changsha, Hunan, China
E-mail: service@bestarpipe.com
Tel: 86-731-86786506 P.O.: 410116",vision:gemini-2.0-flash,success
3452,3LPE TDS.pdf,CERTIFICAT_CALITATE,0.95,ai,completed,OK,"BESTAR STEEL CO.,LTD","5C STEEL, STEEL GRADE API 5L PSL2 L245N/L360N, external 3LPE, coating type 3LPE External Coating, ISO 21809-1 Polyethylene coatings on steel pipes and fittings",,,,vision:gemini-2.0-flash,success
3453,Authorization Leter.pdf,AUTORIZATIE_DISTRIBUTIE,0.98,filename+text_agree,completed,OK,"BESTAR STEEL CO.,LTD.","Steel pipes and related products (Seamless, ERW, LSAW/SAWL, SSAW, line pipe and relevant accessories)",30.12.2026,,"No.9 Xiangfu Road, Changsha, Hunan, China",vision:gemini-2.0-flash,success
3454,ISO14001.pdf,ISO,0.95,filename_regex,completed,OK,"Bestar Steel Co., Ltd",,23.10.2028,,"Room 2205, 1st Building, Longchamp International Building, No.9 Xiangfu Middle Road, Yuhua District, Changsha City, Hunan Province",vision:gemini-2.0-flash,success
3455,ISO45001.pdf,ISO,0.95,filename_regex,completed,OK,"Bestar Steel Co., Ltd",,23.10.2028,,"Room 2205, 1st Building, Longchamp International Building, No.9 Xiangfu Middle Road, Yuhua District, Changsha City",vision:gemini-2.0-flash,success
3456,ISO9001.pdf,ISO,0.95,filename_regex,completed,OK,"Bestar Steel Co., Ltd",,23.10.2028,,"Room 2205, 1st Building, Longchamp International Building, No.9 Xiangfu Middle Road, Yuhua District, Changsha City, Hunan Province",vision:gemini-2.0-flash,success
3457,TITAN STEEL TRADING 9001.pdf,ISO,0.99,filename+text_agree,completed,OK,TITAN STEEL TRADING SRL,,,,"Splaiul Independenței, Nr. 202B, Cam. 42, Sectorul 6, București",vision:gemini-2.0-flash,success
3458,TITAN_STEEL_TRADING tevi curbate LSAW cu izolatie 17.01.2026 - 2.pdf,FISA_TEHNICA,0.90,text_rules,completed,OK,TITAN STEEL TRADING SRL,"Tuburi curbate (coturi) pentru conducte de transport produse petroliere, standard SR EN ISO 3183:2020, calitate otel: L360NE, nivel de calitate: PSL2, fabricare curbe: indoire la rece, standard curbe: ISO 15590",,,"Splaiul Independentei nr. 202B, cam. 42, sector 6, București, România",vision:gemini-2.0-flash,success
3459,TITAN_STEEL_TRADING_Declaratie de conformitate TSG.pdf,DECLARATIE_CONFORMITATE,0.98,filename+text_agree,completed,OK,TITAN STEEL TRADING,Produsele cuprinse in factura fiscala MGR 111 din 18.08.2025,18.08.2025,,"Splaiul Independentei nr. 202B, cam. 42, Sector 6, Bucuresti",vision:gemini-2.0-flash,success
3460,TITAN_STEEL_TRADING_fisa tehnica tevi sudata LSAW cu izolatie HDPE 17.01.2026 - 2.pdf,FISA_TEHNICA,0.98,filename+text_agree,completed,OK,TITAN STEEL TRADING SRL,"Teava din otel sudate longitudinal (LSAW), izolate exterior cu sistem HDPE / 3LPE conform ISO 21809-1",,,"Splaiul Independentei nr. 202B, cam. 42, sector 6, Bucuresti, Romania",vision:gemini-2.0-flash,success
